iter	Logloss
298	0.5219951407
299	0.5218788755
300	0.5217302326
301	0.5214896895
302	0.5213287824
303	0.5212109637
304	0.5210930223
305	0.5210084398
306	0.5208468785
307	0.520716632
308	0.520525473
309	0.5203913429
310	0.520232071
311	0.5199192096
312	0.5197074466
313	0.5195861121
314	0.5194194408
315	0.5192860465
316	0.5191438219
317	0.5189703643
318	0.5188314511
319	0.518737793
320	0.5185702222
321	0.518425831
322	0.5182955027
323	0.5181351679
324	0.5179458076
325	0.5177396045
326	0.517614836
327	0.5174495137
328	0.5173257264
329	0.517157706
330	0.5170538277
331	0.5168740745
332	0.5167569916
333	0.5165618263
334	0.5164059884
335	0.5162965911
336	0.5160975012
337	0.515977107
338	0.5157807562
339	0.5156536166
340	0.5155106971
341	0.5153108713
342	0.5151341024
343	0.5149979282
344	0.5149067638
345	0.5147531743
346	0.5145675751
347	0.5143693437
348	0.514236767
349	0.5141177219
350	0.5139256635
351	0.513702086
352	0.5135220874
353	0.513336243
354	0.5131705936
355	0.5130020009
356	0.5128477982
357	0.512664243
358	0.5125017824
359	0.5122808621
360	0.5120961214
361	0.5120238849
362	0.5117835871
363	0.511640504
364	0.511464798
365	0.5112324719
366	0.5110675176
367	0.5108976984
368	0.5107449674
369	0.5105578965
370	0.5103880364
371	0.5102348558
372	0.5100269356
373	0.5098645976
374	0.509659907
375	0.5095184183
376	0.5093377657
377	0.5091674559
378	0.5090220426
379	0.5088377107
380	0.5086912754
381	0.5085103366
382	0.5083911689
383	0.5082110068
384	0.5079987124
385	0.5078129088
386	0.5076535551
387	0.5074809969
388	0.5072965015
389	0.5071722645
390	0.506885526
391	0.5066245833
392	0.5064433175
393	0.5062545296
394	0.5061126321
395	0.5059215957
396	0.5057719717
397	0.5055843284
398	0.5053785341
399	0.5052664387
400	0.5050675941
401	0.5048700985
402	0.5045787405
403	0.5044136226
404	0.5042341147
405	0.5041224281
406	0.5039931628
407	0.5038108749
408	0.5037009462
409	0.5035192307
410	0.5033192823
411	0.5031746457
412	0.5029966504
413	0.502776466
414	0.5025826088
415	0.5023785315
416	0.5022435428
417	0.5020757676
418	0.5018286018
419	0.5016222351
420	0.5014473467
421	0.5012971095
422	0.5011329728
423	0.5009003605
424	0.500677805
425	0.500504511
426	0.5003265565
427	0.5001891967
428	0.5000045787
429	0.4998470646
430	0.4996692737
431	0.4994609856
432	0.4993076005
433	0.4992128386
434	0.4990296105
435	0.4989088484
436	0.4987389066
437	0.4986092733
438	0.498482747
439	0.4983323462
440	0.498208518
441	0.4980882873
442	0.4979550157
443	0.4978022438
444	0.4976512298
445	0.4975137883
446	0.4973573781
447	0.4971674046
448	0.4970233812
449	0.4968085113
450	0.4966365663
451	0.4964397249
452	0.4962829467
453	0.4960953852
454	0.4959672237
455	0.4957833006
456	0.4956266859
457	0.4953856114
458	0.4952614153
459	0.4950533724
460	0.4948468013
461	0.4946818061
462	0.4945736353
463	0.4944767476
464	0.4943285135
465	0.4941061215
466	0.4938771886
467	0.4937670555
468	0.4936256894
469	0.4934669081
470	0.4932909568
471	0.4931044991
472	0.4930173819
473	0.4928531225
474	0.492667278
475	0.4924952922
476	0.4924173732
477	0.4920993199
478	0.491943482
479	0.4918235784
480	0.4916663914
481	0.4915268241
482	0.4913047182
483	0.491171651
484	0.4910858829
485	0.4909509351
486	0.49073165
487	0.4905725417
488	0.4903829361
489	0.4902849855
490	0.4901223614
491	0.4899225356
492	0.489714779
493	0.4895200225
494	0.4893398195
495	0.4891433869
496	0.4890280619
497	0.4888594283
498	0.4886231777
499	0.4884709373
500	0.4883061873
501	0.4881289687
502	0.4880134802
503	0.4879318002
504	0.4877760441
505	0.4875908128
506	0.4874121225
507	0.4872145043
508	0.4870820911
509	0.4869885556
510	0.4868706961
511	0.486765346
512	0.4866409864
513	0.4864689188
514	0.4862435833
515	0.4861074091
516	0.4859301087
517	0.4857634783
518	0.4855426397
519	0.4853611286
520	0.485242247
521	0.4851233654
522	0.4849530148
523	0.4848676146
524	0.4847629596
525	0.4845907284
526	0.4844186199
527	0.484238049
528	0.4840904691
529	0.4839336091
530	0.4838141961
531	0.4836033325
532	0.4833840883
533	0.483197835
534	0.483036887
535	0.4828425393
536	0.482718752
537	0.4825240772
538	0.4822998456
539	0.4820607333
540	0.4819131124
541	0.4817826207
542	0.481626701
543	0.4815201245
544	0.4813866484
545	0.4812262319
546	0.4810888721
547	0.4808856532
548	0.4807550797
549	0.480515436
550	0.4803767271
551	0.4802606663
552	0.4800681582
553	0.4799431445
554	0.4798133477
555	0.4796959378
556	0.4795626253
557	0.4793677461
558	0.4792285058
559	0.4791037782
560	0.4789560756
561	0.478835477
562	0.4785827923
563	0.4784821844
564	0.4782814593
565	0.4781355146
566	0.4779775508
567	0.4778317696
568	0.4776690228
569	0.4775539023
570	0.477458568
571	0.4772182293
572	0.4770574857
573	0.4768841099
574	0.4767789234
575	0.4766052614
576	0.476412508
577	0.4762007042
578	0.4760529607
579	0.4759400068
580	0.475788952
581	0.4756891617
582	0.4755804595
583	0.475450213
584	0.4753368503
585	0.4751615122
586	0.4750271776
587	0.474851676
588	0.4746787499
589	0.474505047
590	0.4743909076
591	0.4742350696
592	0.4741080119
593	0.4739434254
594	0.4738050028
595	0.4736757374
596	0.473561598
597	0.4734279993
598	0.4732485322
599	0.4730884427
