iter	Logloss
0	0.6859300106
1	0.6794259441
2	0.6737596086
3	0.6679562813
4	0.6624320887
5	0.657088099
6	0.6521414714
7	0.6474990794
8	0.6428558697
9	0.6387180704
10	0.6348306256
11	0.6313159736
12	0.6279668891
13	0.6247012425
14	0.6214749642
15	0.6184061591
16	0.6157722039
17	0.6132148594
18	0.6107979408
19	0.6084229251
20	0.6059350373
21	0.6038345368
22	0.6017640019
23	0.599917208
24	0.5979013718
25	0.5961613179
26	0.5946624613
27	0.5930838869
28	0.5915460299
29	0.5906785785
30	0.5894023182
31	0.5879160938
32	0.5869137355
33	0.5858125271
34	0.584782288
35	0.5835715599
36	0.5827083192
37	0.581683926
38	0.5804722985
39	0.5796431115
40	0.5786619295
41	0.5778367489
42	0.5769087938
43	0.57600132
44	0.5751568027
45	0.5743769181
46	0.5739540054
47	0.5733172039
48	0.572679503
49	0.5722305492
50	0.5715990622
51	0.5711795835
52	0.5707304661
53	0.5700857746
54	0.5694755866
55	0.5690222176
56	0.5685034392
57	0.5679398145
58	0.5675240559
59	0.5671103414
60	0.5667702943
61	0.5663450513
62	0.5658268861
63	0.5654353291
64	0.5650207152
65	0.5646804227
66	0.5643249634
67	0.5640414954
68	0.5635877585
69	0.5633179856
70	0.5628934376
71	0.5625200316
72	0.5622759728
73	0.5618189654
74	0.5615598624
75	0.5611986389
76	0.5609300924
77	0.5606679642
78	0.5603039199
79	0.5601022545
80	0.5597299115
81	0.5594323804
82	0.5590332195
83	0.5586849552
84	0.5583417194
85	0.5580755848
86	0.5578355323
87	0.5575935175
88	0.5573691223
89	0.557076824
90	0.5568357086
91	0.5565754609
92	0.5562698354
93	0.5559171152
94	0.5556539649
95	0.5553702516
96	0.5550718212
97	0.5548508191
98	0.5545409012
99	0.554233804
100	0.5541750581
101	0.5539260527
102	0.5537814979
103	0.5535437347
104	0.5533934566
105	0.5531427341
106	0.5530135097
107	0.5528010926
108	0.5525494708
109	0.5522247539
110	0.5520754161
111	0.5518317251
112	0.5515962104
113	0.551186911
114	0.5510934982
115	0.5509090436
116	0.5507355452
117	0.5505002348
118	0.5503179061
119	0.5500734384
120	0.5498661315
121	0.549714586
122	0.5494827914
123	0.5493129723
124	0.5491753672
125	0.5490373534
126	0.5488809431
127	0.5487581778
128	0.5484786752
129	0.5482967144
130	0.5480392875
131	0.5479014372
132	0.5476852591
133	0.5474418134
134	0.547328001
135	0.5471339395
136	0.5469328873
137	0.5467670336
138	0.5465001223
139	0.5463907251
140	0.5461897955
141	0.5461018608
142	0.5459259912
143	0.5456244538
144	0.5454919998
145	0.5453621621
146	0.5452100035
147	0.5450899772
148	0.5449334852
149	0.5447632163
150	0.544661055
151	0.5445044812
152	0.5443457407
153	0.5441453018
154	0.543989423
155	0.5438260221
156	0.5436479858
157	0.5433837727
158	0.543101899
159	0.542855837
160	0.5426075265
161	0.542527073
162	0.5424622768
163	0.5422633504
164	0.5421236195
165	0.5420161437
166	0.5417689779
167	0.5415693565
168	0.5413973707
169	0.5412952093
170	0.541241778
171	0.5411207297
172	0.540976829
173	0.5408148181
174	0.5407135562
175	0.5405454131
176	0.5403588328
177	0.5402237623
178	0.5400675974
179	0.5399236149
180	0.5397320471
181	0.5395265798
182	0.5393238924
183	0.539116054
184	0.5389992164
185	0.5388190135
186	0.5386850059
187	0.5385207466
188	0.5384514535
189	0.5383126629
190	0.5382183916
191	0.5381093214
192	0.5379918297
193	0.5378545926
194	0.5376766381
195	0.537554854
196	0.5374845797
197	0.5373579716
198	0.5371348847
199	0.5369864053
200	0.5369705026
201	0.5367955734
202	0.5367243589
203	0.5366356473
204	0.5364719194
205	0.5363208237
206	0.5361602845
207	0.536073617
208	0.5359671632
209	0.5358461558
210	0.5355720086
211	0.535480231
212	0.5353056287
213	0.5352112757
214	0.5351436996
215	0.5347850925
216	0.5346352232
217	0.5345163416
218	0.5344067808
219	0.5341770711
220	0.5340373403
221	0.5338065677
222	0.5337116423
223	0.5335627132
224	0.533429278
225	0.5333170191
226	0.5330794195
227	0.532885317
228	0.5327310326
229	0.5325333735
230	0.5324384072
231	0.5323139249
232	0.532217119
233	0.5321386277
234	0.5320288626
235	0.5318991475
236	0.5317430234
237	0.5316058681
238	0.5313356046
239	0.5311654175
240	0.5310538126
241	0.5309083176
242	0.5307257436
243	0.5305596446
244	0.530504251
245	0.5303373343
246	0.5302092136
247	0.5300591399
248	0.529923906
249	0.5298381788
250	0.5296839352
251	0.5294899145
252	0.5293086078
253	0.5291830626
254	0.5290536746
255	0.5289014342
256	0.5287901565
257	0.5286899983
258	0.5285404969
259	0.528294394
260	0.5281160716
261	0.5279887686
262	0.5278333394
263	0.5276857186
264	0.5274870784
265	0.5273123944
266	0.5271973147
267	0.5270528825
268	0.5268517895
269	0.526665945
270	0.5264910566
271	0.5263874235
272	0.5262012111
273	0.5260239516
274	0.5258495129
275	0.5257025052
276	0.5255848501
277	0.5254834246
278	0.5253892759
279	0.5251865068
280	0.5249419573
281	0.5248623214
282	0.5246739831
283	0.5245966365
284	0.524480126
285	0.5243332001
286	0.5241800603
287	0.5240601158
288	0.5239001489
289	0.5237715377
290	0.5235872467
291	0.5232850552
292	0.5231078366
293	0.5229459483
294	0.5227836512
295	0.5226523418
296	0.5223975721
297	0.5222120956
